episode, step, reward, loss
===========================================2019-06-15 22:01:34.171658
0,0,3540.0,4818636.0
0,1,3600.0,6862434.0
0,2,3780.0,3196076.0
0,3,4080.0,1452474.8
0,4,3960.0,2000984.6
0,5,3960.0,1091110.0
0,6,3600.0,483015.06
0,7,3660.0,473169.44
0,8,3720.0,627262.25
0,9,3600.0,576498.6
1,0,3660.0,1790561.1
1,1,3720.0,2096313.5
1,2,3660.0,802932.94
===========================================2019-06-15 22:13:26.510402
0,0,3420.0,13078702.0
0,1,3840.0,2203478.0
0,2,3900.0,650323.06
0,3,3660.0,2508069.0
0,4,3660.0,1090835.2
0,5,3600.0,836555.44
0,6,3600.0,1522463.4
0,7,3660.0,510575.44
0,8,3720.0,1008894.9
0,9,3600.0,299250.34
1,0,3600.0,1740144.8
1,1,3660.0,1946216.6
1,2,3600.0,732905.94
1,3,3660.0,1089788.6
1,4,3780.0,367675.53
1,5,3540.0,673733.25
1,6,3660.0,498499.72
1,7,3660.0,658875.56
1,8,3600.0,442100.3
1,9,3600.0,543032.4
2,0,3540.0,427066.1
2,1,3660.0,383072.72
2,2,3600.0,354594.6
2,3,3660.0,313621.47
2,4,3720.0,297190.03
2,5,3540.0,283570.7
2,6,3600.0,267356.06
2,7,3600.0,264130.8
2,8,3600.0,238971.44
2,9,3600.0,236911.73
3,0,3720.0,213945.19
3,1,3660.0,219434.25
3,2,3660.0,213591.8
3,3,3660.0,192818.81
3,4,3600.0,197457.1
3,5,3600.0,185578.19
3,6,3600.0,137969.5
3,7,3600.0,207346.73
3,8,3660.0,203489.7
3,9,3600.0,170027.08
4,0,3540.0,222067.72
4,1,3780.0,208225.31
4,2,3540.0,197474.5
4,3,3660.0,165570.4
4,4,3660.0,160717.98
4,5,3600.0,178322.64
4,6,3600.0,134403.83
4,7,3600.0,197609.47
4,8,3660.0,208159.23
4,9,3720.0,191598.6
5,0,3600.0,128308.0
5,1,3720.0,229158.61
5,2,3600.0,198248.31
5,3,3660.0,190056.61
5,4,3840.0,214806.03
5,5,3840.0,142898.08
5,6,3600.0,260879.42
5,7,3960.0,203113.47
5,8,3480.0,189016.22
5,9,3660.0,212671.77
6,0,3540.0,203204.4
6,1,3720.0,157435.3
6,2,3660.0,325251.06
6,3,3660.0,241901.34
6,4,3900.0,196533.62
6,5,3660.0,324924.06
6,6,3600.0,295733.4
6,7,3840.0,232180.72
6,8,3660.0,293583.56
6,9,3600.0,303639.56
7,0,3660.0,269563.22
7,1,3720.0,223963.34
7,2,3600.0,232585.95
7,3,3600.0,362063.44
7,4,3840.0,509021.62
7,5,3660.0,312085.72
7,6,3600.0,186834.9
7,7,3600.0,279004.38
7,8,3660.0,433762.8
7,9,3660.0,196574.31
8,0,3780.0,194467.9
8,1,3840.0,280771.94
8,2,3600.0,256976.4
8,3,3660.0,242541.36
8,4,3660.0,218042.03
8,5,3660.0,303530.28
8,6,3660.0,263978.3
8,7,3720.0,228736.89
8,8,3660.0,224969.72
8,9,3720.0,181110.5
9,0,3600.0,130326.92
9,1,3780.0,313202.47
9,2,3600.0,268608.7
9,3,3600.0,327437.75
9,4,3600.0,210816.5
9,5,3600.0,245054.56
9,6,3780.0,342529.8
9,7,3600.0,184206.36
9,8,3660.0,242868.56
9,9,3780.0,294241.44
10,0,3720.0,269483.78
10,1,3600.0,218045.06
10,2,3660.0,281007.3
